relative_path,duration_sec,n_frames,fps
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/تَوَسَّطَ (إِشَارَة 1).mp4,2.440,61,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/تَوْأَمٌ (إِشَارَة 1).mp4,2.680,67,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/تَوْقِيعٌ.mp4,3.080,77,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/تُرَابٌ.mp4,6.360,159,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/تُرْكْيَا.mp4,3.120,78,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/تُفَّاحَةٌ.mp4,3.240,81,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/تُونُسُ.mp4,5.480,137,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/تُوُفِّيَ (إِشَارَة 1).mp4,3.040,76,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/تِطْوَان.mp4,2.720,68,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/تِلْفَازٌ.mp4,3.240,81,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/تِلْفَازُ بْلَازْمَا.mp4,7.440,186,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/تِلْمِيذٌ (إِشَارَة 1).mp4,3.800,95,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/تِلْمِيذٌ (إِشَارَة 2).mp4,4.000,100,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/تِمْسَاحٌ.mp4,3.320,83,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/ث (إِشَارَة 1).mp4,3.840,96,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/ث (إِشَارَة 2).mp4,3.880,97,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/ثَانٍ.mp4,4.160,104,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/ثَرْثَارٌ.mp4,3.360,84,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/ثَعْلَبٌ (إِشَارَة 1).mp4,3.680,92,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/ثَقَافَةٌ.mp4,3.880,97,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/ثَقِيلٌ.mp4,7.200,180,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/ثَلاَّجَةٌ (إِشَارَة 1).mp4,2.880,72,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/ثَلْجٌ (إِشَارَة 1).mp4,4.600,115,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/ثَمَنٌ (إِشَارَة 1).mp4,4.240,106,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/ثَوْبٌ (إِشَارَة 1).mp4,3.560,89,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/ثَوْرٌ أَمْرِيكِيٌّ.mp4,4.320,108,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/ثَوْرَةُ الْمَلِكِ وَالشَّعْبِ.mp4,3.960,99,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/ثُرَيَّا.mp4,4.560,114,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/ثُعْبَانٌ (إِشَارَة 1).mp4,3.280,82,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/ثُلُثٌ.mp4,3.360,84,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/ثُمَّ (إِشَارَة 1).mp4,4.960,124,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/ثُمَّ (إِشَارَة 2).mp4,4.800,120,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَاءَ (إِشَارَة 1).mp4,3.400,85,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَارٌ (إِشَارَة 1).mp4,3.800,95,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَافٌّ (إِشَارَة 1).mp4,6.760,169,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَاكِيت.mp4,3.800,95,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَالَ (إِشَارَة 1).mp4,4.320,108,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَامِعَةٌ (إِشَارَة 1).mp4,3.600,90,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَانِبٌ.mp4,3.760,94,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَاهِلٌ.mp4,2.840,71,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَائِزَةٌ.mp4,3.520,88,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَائِع (إِشَارَة 1).mp4,4.133,124,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَبَلٌ.mp4,3.320,83,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَبْهَةٌ.mp4,4.900,147,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَدٌّ.mp4,2.520,63,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَدَّةٌ.mp4,5.967,179,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَدِيدٌ (إِشَارَة 1).mp4,4.100,123,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَدِيدٌ (إِشَارَة 2).mp4,2.560,64,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَدْيٌّ.mp4,4.680,117,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَذَّابٌ.mp4,3.520,88,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَذْرُ الشَّجَرَةِ (إِشَارَة 1).mp4,8.840,221,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَرَادٌ.mp4,4.280,107,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَرَسٌ مُضِيءٌ.mp4,4.080,102,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَرَسٌ.mp4,3.240,81,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَرَى.mp4,3.560,89,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَرَّ.mp4,2.720,68,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَرَّارٌ.mp4,5.640,141,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَرَّافَةٌ.mp4,4.760,119,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَرِيدَةٌ (إِشَارَة 1).mp4,3.160,79,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَرِيدَةٌ (إِشَارَة 2).mp4,3.200,80,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَزَرٌ.mp4,3.320,83,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَزَّارٌ.mp4,7.680,192,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَزَّازَةُ الْعُشْبِ.mp4,3.920,98,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَفَافٌ (إِشَارَة 1).mp4,5.400,135,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَفَافٌ (إِشَارَة 2).mp4,3.640,91,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَفْنٌ (إِشَارَة 1).mp4,5.080,127,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَلَسَ (إِشَارَة 1).mp4,2.920,73,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَلَسَ (إِشَارَة 2).mp4,3.040,76,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَلِيسَةُ أَطْفَال (إِشَارَة 1).mp4,5.640,141,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَمَارِكُ (إِشَارَة 1).mp4,4.680,117,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَمَارِكُ (إِشَارَة 2).mp4,4.440,111,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَمَاعَةٌ حَضَرِيَّةٌ (إِشَارَة 1).mp4,4.800,120,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَمَاعَةٌ قَرَوِيَّةٌ (إِشَارَة 1).mp4,5.133,154,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَمَاعَةٌ قَرَوِيَّةٌ (إِشَارَة 2).mp4,7.367,221,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَمَعَ (إِشَارَة 1).mp4,4.040,101,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَمَلٌ.mp4,4.320,108,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَمِيلٌ (إِشَارَة 1).mp4,4.040,101,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَمِيلٌ (إِشَارَة 2).mp4,3.840,96,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَمْعِيَّةٌ.mp4,3.320,83,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَمْعِيَّةُ آبَاءِ وَأَوْلِيَاءِ التَّلاَمِيذِ.mp4,5.400,135,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَنَاحُ طَائِرَةٍ.mp4,4.280,107,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَنَازَةٌ.mp4,3.280,82,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَنُوبٌ.mp4,8.000,200,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَوٌّ.mp4,5.033,151,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَوَابٌ (إِشَارَة 1).mp4,7.280,182,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَوَابٌ (إِشَارَة 2).mp4,3.360,84,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَوَازُ سَفَرٍ.mp4,6.960,174,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَوْزَةُ الهِنْد.mp4,3.120,78,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَيِّدٌ.mp4,2.320,58,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَيْبٌ.mp4,3.840,96,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جَيْشٌ.mp4,3.440,86,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جُبْنٌ أَحْمَرُ.mp4,3.560,89,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جُبْنَةٌ.mp4,4.120,103,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جُرْحٌ.mp4,3.080,77,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جُغْرَافْيَا.mp4,4.480,112,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جُمْلَةٌ.mp4,3.160,79,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جِرَاحَةٌ (إِشَارَة 1).mp4,3.640,91,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جِسْرٌ.mp4,3.640,91,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جِسْمٌ.mp4,4.200,105,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جِلْبَابٌ.mp4,4.080,102,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جِنْسٌ.mp4,2.720,68,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جِهَازُ عَرْضٍ.mp4,4.600,115,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جِيلُ الشَّعْرِ.mp4,4.240,106,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/جِينْز (إِشَارَة 1).mp4,3.560,89,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَاجِبٌ.mp4,2.760,69,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَاجِزٌ.mp4,6.600,165,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَادِثَةُ (سَيْرٍ).mp4,2.920,73,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَاذِقٌ.mp4,7.480,187,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَارٌّ.mp4,3.680,92,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَارِسٌ (إِشَارَة 1).mp4,4.080,102,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَارِسٌ شَخْصِي.mp4,4.200,105,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَارِسُ المَرْمَى (إِشَارَة 1).mp4,4.560,114,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَاسُوبٌ مَحْمُولٌ.mp4,3.280,82,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَاضِرٌ.mp4,3.000,75,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَافَظَ (عَلَى الشَّيْءِ).mp4,4.320,108,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَافِلَةٌ.mp4,2.640,66,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَامِلٌ.mp4,3.040,76,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَائِطٌ.mp4,6.240,156,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَبَّار.mp4,5.400,135,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَبُّ الشَّبَابِ (إِشَارَة 1).mp4,4.000,100,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَجَرٌ (إِشَارَة 1).mp4,2.360,59,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَدِيدٌ (إِشَارَة 1).mp4,7.433,223,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَدِيقَةٌ (إِشَارَة 1).mp4,4.120,103,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَدِيقَةٌ (إِشَارَة 2).mp4,3.280,82,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَدِيقَةُ الحَيَوَانَاتِ (إِشَارَة 1).mp4,4.800,120,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَذِرٌ.mp4,4.400,110,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَرَارَةٌ.mp4,5.560,139,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَرِيرَة.mp4,3.840,96,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَرِيقٌ.mp4,3.520,88,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَزِينٌ (إِشَارَة 1).mp4,3.600,90,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَزِينٌ (إِشَارَة 2).mp4,4.240,106,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَشَرَةٌ.mp4,3.400,85,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَصَّالَةٌ.mp4,4.120,103,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَفَّارَةٌ.mp4,3.280,82,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَفَّاظَةٌ.mp4,3.960,99,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَفْلٌ (إِشَارَة 1).mp4,3.920,98,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَفْلٌ (إِشَارَة 2).mp4,3.440,86,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَق (إِشَارَة 1).mp4,4.967,149,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَقِيبَةٌ.mp4,2.680,67,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَقِيبَةُ الجَيْبِ.mp4,3.000,75,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَقِيبَةُ الظَّهْرِ.mp4,3.240,81,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَقِيبَةُ اليَدِ.mp4,3.200,80,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَقِيرٌ.mp4,6.880,172,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَكَمُ مُبَارَاةٍ (إِشَارَة 1).mp4,4.880,122,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَكَى (إِشَارَة 1).mp4,7.040,176,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَكِيمٌ.mp4,3.240,81,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَلَزُونٌ (إِشَارَة 1).mp4,4.600,115,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَلَقَةُ أُذُنٍ.mp4,3.640,91,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَلِيبٌ.mp4,3.960,99,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَلْوَى.mp4,3.000,75,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَمَاسٌ (إِشَارَة 1).mp4,4.560,114,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَمَامَةٌ.mp4,3.120,78,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَمَلٌ.mp4,4.640,116,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَمَلَ.mp4,5.000,125,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَمَّامٌ.mp4,3.280,82,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَنْجَرَةٌ مُلْتَهِبَةٌ.mp4,4.360,109,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَوْضُ اسْتِحْمَامٍ.mp4,4.240,106,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَيٌّ (سَكَنِيٌّ).mp4,4.680,117,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَيَاةٌ.mp4,7.267,218,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَيَوَانٌ (إِشَارَة 1).mp4,7.320,183,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حَيَوَانٌ (إِشَارَة 2).mp4,4.000,100,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حُبُوبٌ.mp4,4.000,100,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حُجَّةٌ.mp4,2.960,74,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حُجْرَةُ نَوْم.mp4,4.080,102,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حُرٌّ (إِشَارَة 1).mp4,3.440,86,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حُرٌّ (إِشَارَة 2).mp4,5.667,170,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حُكُومَةٌ.mp4,2.880,72,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حُلْوٌ (إِشَارَة 1).mp4,3.960,99,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حُوت.mp4,3.960,99,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حِذَاءٌ (إِشَارَة 1).mp4,3.320,83,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حِذَاءٌ بِرَقَبَةٍ (إِشَارَة 1).mp4,4.480,112,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حِذَاءٌ رِيَاضِيٌّ (إِشَارَة 1).mp4,3.880,97,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حِصَانٌ (إِشَارَة 1).mp4,4.520,113,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حِصَانٌ (إِشَارَة 2).mp4,5.800,174,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حِمَارٌ (إِشَارَة 1).mp4,4.120,103,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حِمَارٌ وَحْشِيٌّ (إِشَارَة 1).mp4,4.600,115,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حِمَارٌ وَحْشِيٌّ (إِشَارَة 2).mp4,4.200,105,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حِمَارٌ وَحْشِيٌّ (إِشَارَة 3).mp4,4.400,110,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حِمَايَةٌ (إِشَارَة 1).mp4,6.067,182,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حِمَايَةٌ (إِشَارَة 2).mp4,5.000,150,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حِمَّصٌ.mp4,5.240,131,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حِمْيَةٌ (إِشَارَة 1).mp4,6.480,162,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حِنَّاءٌ.mp4,3.520,88,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/حِوَارٌ (إِشَارَة 1).mp4,5.600,168,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَاتَمٌ.mp4,2.360,59,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَادِمٌ.mp4,3.600,90,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَارِجَ.mp4,6.367,191,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَالَةٌ.mp4,4.400,110,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَائِفٌ (إِشَارَة 1).mp4,3.440,86,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَبَّأَ.mp4,2.880,72,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَجُولٌ.mp4,4.000,100,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَدٌّ.mp4,4.280,107,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَدَشَ.mp4,3.680,92,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَدَعَ (إِشَارَة 1).mp4,3.760,94,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَدَعَ (إِشَارَة 2).mp4,4.667,140,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَدَعَ (إِشَارَة 3).mp4,5.733,172,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَرَجَ (إِشَارَة 1).mp4,2.920,73,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَرَجَ (إِشَارَة 2).mp4,3.000,75,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَرَجَ (إِشَارَة 3).mp4,2.880,72,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَرَزٌ.mp4,3.800,95,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَرُوفٌ.mp4,5.840,146,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَرِيرٌ (إِشَارَة 1).mp4,7.480,187,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَرِيرٌ (إِشَارَة 2).mp4,5.560,139,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَسِرَ (إِشَارَة 1).mp4,4.120,103,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَسِرَ (إِشَارَة 2).mp4,4.640,116,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَشَبٌ.mp4,3.400,85,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَطَأٌ.mp4,3.040,76,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَفَقَانُ (القَلْبِ).mp4,4.120,103,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَلٌّ.mp4,3.480,87,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَلْفَ (إِشَارَة 1).mp4,2.680,67,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَمْرٌ.mp4,3.720,93,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَمْسَة.mp4,4.960,124,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَمْسَةُ آلاَفِ دِرْهَمٍ.mp4,2.320,58,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَمْسَةُ دَراهِمَ.mp4,2.400,60,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَمْسُ مِئَةِ دِرْهَمٍ.mp4,2.600,65,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَمْسُونَ دِرْهَمًا.mp4,2.440,61,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَوْخٌ (إِشَارَة 1).mp4,3.960,99,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَيْطٌ.mp4,2.600,65,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خَيْمَةٌ (إِشَارَة 1).mp4,3.280,82,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خُبْزٌ (إِشَارَة 1).mp4,2.960,74,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خُرِيبْكَة.mp4,3.960,99,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خُرْشُوفٌ.mp4,4.000,100,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خُنْفُسَاءٌ.mp4,3.720,93,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خُوذَةٌ.mp4,3.560,89,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خِتَان.mp4,4.120,103,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خِزَانَةٌ.mp4,5.360,134,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خِنَّوْصٌ (إِشَارَة 1).mp4,7.167,215,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خِنْزِيرٌ (إِشَارَة 1).mp4,4.240,106,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خِنْزِيرٌ بَرِّي.mp4,3.840,96,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/خِيَاطَةٌ.mp4,3.320,83,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/دَاخِلَ.mp4,2.480,62,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/دَارُ الشَّبَابِ (إِشَارَة 1).mp4,7.080,177,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/دَارُ سَكِّ النُّقُودِ (إِشَارَة 1).mp4,4.960,124,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/دَبَّاسَةٌ.mp4,3.640,91,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/دَجَاجٌ بَلَدِيٌّ.mp4,8.480,212,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/دَجَاجَةٌ (إِشَارَة 1).mp4,3.440,86,25.000
